post_id,title,category,score,num_comments,author,collected_at,engagement,is_popular
47697870,LittleSnitch for Linux,general,827,282,pluc,2026-04-09 11:38:50,0.34057971014492755,True
47700388,Help Keep Thunderbird Alive,general,133,71,playfultones,2026-04-09 11:38:50,0.5298507462686567,False
47691730,I ported Mac OS X to the Nintendo Wii,general,1635,285,blkhp19,2026-04-09 11:38:51,0.17420537897310515,True
47699181,Open Source Security at Astral,general,221,43,vinhnx,2026-04-09 11:38:51,0.19369369369369369,True
47701100,Creating the Futurescape for the Fifth Element [2019],general,38,12,nixass,2026-04-09 11:38:51,0.3076923076923077,False
47701572,"Wit, unker, Git: The lost medieval pronouns of English intimacy",general,16,4,eigenspace,2026-04-09 11:38:52,0.23529411764705882,False
47660434,C# in Unity 2026: Features Most Developers Still Don't Use,general,35,21,hacker_13,2026-04-09 11:38:52,0.5833333333333334,False
47658950,Haunted Paper Toys,general,112,10,exvi,2026-04-09 11:38:53,0.08849557522123894,False
47645010,Dr. Dobb's Developer Library DVD 6,general,66,18,kristianp,2026-04-09 11:38:53,0.26865671641791045,False
47701233,Claude mixes up who said what and that's not OK,technology,112,90,sixhobbits,2026-04-09 11:38:54,0.7964601769911505,False
47695012,USB for Software Developers: An introduction to writing userspace USB drivers,technology,317,38,WerWolv,2026-04-09 11:38:54,0.11949685534591195,True
47693153,Understanding the Kalman filter with a simple radar example,general,363,46,alex_be,2026-04-09 11:38:55,0.12637362637362637,True
47699814,Process Manager for Autonomous AI Agents,technology,48,11,ankitg12,2026-04-09 11:38:55,0.22448979591836735,False
47688678,They're made out of meat (1991),general,566,153,surprisetalk,2026-04-09 11:38:55,0.2698412698412698,True
47666639,The Importance of Being Idle,general,211,120,Caiero,2026-04-09 11:38:56,0.5660377358490566,False
47685320,Who is Satoshi Nakamoto? My quest to unmask Bitcoin's creator,general,520,632,jfirebaugh,2026-04-09 11:38:56,1.2130518234165066,True
47663743,"Show HN: Moon simulator game, ray-casting",sports,17,6,JKCalhoun,2026-04-09 11:38:57,0.3333333333333333,False
47632157,"Improving storage efficiency in Magic Pocket, Dropbox's immutable blob store",general,17,0,laluser,2026-04-09 11:38:57,0.0,False
47689648,ML promises to be profoundly weird,general,515,512,pabs3,2026-04-09 11:38:58,0.9922480620155039,True
47687273,Git commands I run before reading any code,technology,2075,452,grepsedawk,2026-04-09 11:38:58,0.21772639691714837,True
47692043,Muse Spark: Scaling towards personal superintelligence,worldnews,350,335,chabons,2026-04-09 11:38:59,0.9544159544159544,True
47678690,Six (and a half) intuitions for KL divergence,general,86,11,jxmorris12,2026-04-09 11:38:59,0.12643678160919541,False
47689174,MegaTrain: Full Precision Training of 100B+ Parameter LLMs on a Single GPU,technology,305,54,chrsw,2026-04-09 11:39:00,0.17647058823529413,True
47648538,I imported the full Linux kernel git history into pgit,general,135,22,ImGajeed76,2026-04-09 11:39:00,0.16176470588235295,False
47694983,Expanding Swift's IDE Support,general,123,57,frizlab,2026-04-09 11:39:01,0.4596774193548387,False
47643852,Map Gesture Controls - Control maps with your hands,general,32,5,hebelehubele,2026-04-09 11:39:01,0.15151515151515152,False
47654062,Ask HN: Any interesting niche hobbies?,general,390,571,e-topy,2026-04-09 11:39:02,1.4603580562659846,True
47656730,Understanding Traceroute,general,135,22,stonecharioteer,2026-04-09 11:39:02,0.16176470588235295,False
47700972,Reallocating $100/Month Claude Code Spend to Zed and OpenRouter,technology,45,45,kisamoto,2026-04-09 11:39:03,0.9782608695652174,False
47666398,Show HN: A (marginally) useful x86-64 ELF executable in 301 bytes,entertainment,54,14,meribold,2026-04-09 11:39:03,0.2545454545454545,False
47701433,America Has Lost the Arab World,general,15,5,robtherobber,2026-04-09 11:39:03,0.3125,False
47696035,John Deere to pay $99M in right-to-repair settlement,technology,330,111,CharlesW,2026-04-09 11:39:04,0.33534743202416917,True
47676561,Teardown of unreleased LG Rollable shows why rollable phones aren't a thing,entertainment,114,48,DamnInteresting,2026-04-09 11:39:05,0.41739130434782606,False
47645717,Union types in C# 15,general,211,187,0x00C0FFEE,2026-04-09 11:39:05,0.8820754716981132,False
