post_id,title,category,score,num_comments,author,collected_at
47697870,LittleSnitch for Linux,general,718,221,pluc,2026-04-09 09:49:57
47699181,Open Source Security at Astral,general,182,36,vinhnx,2026-04-09 09:49:57
47691730,I ported Mac OS X to the Nintendo Wii,general,1580,275,blkhp19,2026-04-09 09:49:58
47658950,Haunted Paper Toys,general,86,3,exvi,2026-04-09 09:49:58
47660434,C# in Unity 2026: Features Most Developers Still Don't Use,general,15,2,hacker_13,2026-04-09 09:49:59
47701100,Creating the Futurescape for the Fifth Element,general,11,3,nixass,2026-04-09 09:49:59
47700388,Help Keep Thunderbird Alive,general,20,4,playfultones,2026-04-09 09:50:00
47699814,Process Manager for Autonomous AI Agents,technology,36,7,ankitg12,2026-04-09 09:50:00
47645010,Dr. Dobb's Developer Library DVD 6,general,37,10,kristianp,2026-04-09 09:50:01
47695012,USB for Software Developers: An introduction to writing userspace USB drivers,technology,300,38,WerWolv,2026-04-09 09:50:01
47666639,The Importance of Being Idle,general,181,101,Caiero,2026-04-09 09:50:02
47693153,Understanding the Kalman filter with a simple radar example,general,342,44,alex_be,2026-04-09 09:50:02
47688678,They're made out of meat (1991),general,541,150,surprisetalk,2026-04-09 09:50:03
47685320,Who is Satoshi Nakamoto? My quest to unmask Bitcoin's creator,general,488,551,jfirebaugh,2026-04-09 09:50:03
47689648,ML promises to be profoundly weird,general,501,490,pabs3,2026-04-09 09:50:03
47678690,Six (and a half) intuitions for KL divergence,general,79,10,jxmorris12,2026-04-09 09:50:04
47632157,"Improving storage efficiency in Magic Pocket, Dropbox's immutable blob store",general,9,0,laluser,2026-04-09 09:50:04
47687273,Git commands I run before reading any code,technology,2046,438,grepsedawk,2026-04-09 09:50:05
47692043,Muse Spark: Scaling towards personal superintelligence,worldnews,341,329,chabons,2026-04-09 09:50:05
47689174,MegaTrain: Full Precision Training of 100B+ Parameter LLMs on a Single GPU,technology,294,54,chrsw,2026-04-09 09:50:06
47648538,I imported the full Linux kernel git history into pgit,general,128,19,ImGajeed76,2026-04-09 09:50:06
47694983,Expanding Swift's IDE Support,general,116,54,frizlab,2026-04-09 09:50:06
47643852,Map Gesture Controls - Control maps with your hands,general,27,5,hebelehubele,2026-04-09 09:50:07
47656730,Understanding Traceroute,general,128,22,stonecharioteer,2026-04-09 09:50:07
47654062,Ask HN: Any interesting niche hobbies?,general,366,543,e-topy,2026-04-09 09:50:08
47666398,Show HN: A (marginally) useful x86-64 ELF executable in 301 bytes,entertainment,41,8,meribold,2026-04-09 09:50:08
47696035,John Deere to pay $99M in right-to-repair settlement,technology,309,97,CharlesW,2026-04-09 09:50:09
47676561,Teardown of unreleased LG Rollable shows why rollable phones aren't a thing,entertainment,107,47,DamnInteresting,2026-04-09 09:50:09
47675446,Audio Reactive LED Strips Are Diabolically Hard,general,228,63,surprisetalk,2026-04-09 09:50:10
47645717,Union types in C# 15,general,206,184,0x00C0FFEE,2026-04-09 09:50:10
47686549,Veracrypt project update,general,1218,447,super256,2026-04-09 09:50:11
47696562,Show HN: Is Hormuz open yet?,entertainment,396,167,anonfunction,2026-04-09 09:50:11
